Family,Instance_Name,core_count,memory_mb,AWS_Cost,Total_cost
i3,i3.4xlarge,16,124928,1.248,1.648
m6idn,m6idn.4xlarge,16,65536,1.27296,1.57696
r5dn,r5dn.4xlarge,16,131072,1.336,1.754
i4i,i4i.4xlarge,16,131072,1.373,1.923
r6in,r6in.4xlarge,16,131072,1.39464,1.80264
r6idn,r6idn.4xlarge,16,131072,1.56312,1.97112
m5zn,m5zn.6xlarge,24,98304,1.982,2.582
c6g,c6g.8xlarge,32,65536,1.088,1.704
c7g,c7g.8xlarge,32,65536,1.1562,1.8802
c6gd,c6gd.8xlarge,32,65536,1.2288,1.8448
c5a,c5a.8xlarge,32,65536,1.232,1.718
m6g,m6g.8xlarge,32,131072,1.232,1.845
m7g,m7g.8xlarge,32,131072,1.3056,2.0736
c6i,c6i.8xlarge,32,65536,1.36,1.916
c5ad,c5ad.8xlarge,32,65536,1.376,1.924
m5a,m5a.8xlarge,32,131072,1.376,1.867
m6gd,m6gd.8xlarge,32,131072,1.4464,2.0594
c7gd,c7gd.8xlarge,32,65536,1.4515,2.1755
m5,m5.8xlarge,32,131072,1.536,2.084
m6i,m6i.8xlarge,32,131072,1.536,2.144
c6id,c6id.8xlarge,32,65536,1.6128,2.1688
r6g,r6g.8xlarge,32,262144,1.6128,2.4128
m7gd,m7gd.8xlarge,32,131072,1.7086,2.4766
r7g,r7g.8xlarge,32,262144,1.7136,2.7216
r5a,r5a.8xlarge,32,262144,1.808,2.454
m5d,m5d.8xlarge,32,131072,1.808,2.356
c6in,c6in.8xlarge,32,65536,1.8144,2.3704
r6gd,r6gd.8xlarge,32,262144,1.8432,2.6432
m6id,m6id.8xlarge,32,131072,1.8984,2.5064
m5n,m5n.8xlarge,32,131072,1.904,2.475
r5,r5.8xlarge,32,262144,2.016,2.736
r6i,r6i.8xlarge,32,262144,2.016,2.832
r4,r4.8xlarge,32,249856,2.128,2.928
m5dn,m5dn.8xlarge,32,131072,2.176,2.829
r7gd,r7gd.8xlarge,32,262144,2.1773,3.1853
m6in,m6in.8xlarge,32,131072,2.22768,2.83568
r5d,r5d.8xlarge,32,262144,2.304,3.024
r5n,r5n.8xlarge,32,262144,2.384,3.104
r6id,r6id.8xlarge,32,262144,2.4192,3.2352
i3,i3.8xlarge,32,249856,2.496,3.296
m6idn,m6idn.8xlarge,32,131072,2.54592,3.15392
r5dn,r5dn.8xlarge,32,262144,2.672,3.507
i4i,i4i.8xlarge,32,262144,2.746,3.846
r6in,r6in.8xlarge,32,262144,2.78928,3.60528
r6idn,r6idn.8xlarge,32,262144,3.12624,3.94224
c5,c5.9xlarge,36,73728,1.53,2.076
c4,c4.8xlarge,36,61440,1.591,1.991
c5d,c5d.9xlarge,36,73728,1.728,2.274
c5n,c5n.9xlarge,36,98304,1.944,2.643
m4,m4.10xlarge,40,163840,2,2.8
c6g,c6g.12xlarge,48,98304,1.632,2.556
c7g,c7g.12xlarge,48,98304,1.7342,2.8202
c6gd,c6gd.12xlarge,48,98304,1.8432,2.7672
c5a,c5a.12xlarge,48,98304,1.848,2.576
m6g,m6g.12xlarge,48,196608,1.848,2.769
m7g,m7g.12xlarge,48,196608,1.9584,3.1104
c5,c5.12xlarge,48,98304,2.04,2.768
c6i,c6i.12xlarge,48,98304,2.04,2.874
m5a,m5a.12xlarge,48,196608,2.064,2.801
c5ad,c5ad.12xlarge,48,98304,2.064,2.886
m6gd,m6gd.12xlarge,48,196608,2.1696,3.0906
c7gd,c7gd.12xlarge,48,98304,2.1773,3.2633
c5d,c5d.12xlarge,48,98304,2.304,3.032
m5,m5.12xlarge,48,196608,2.304,3.127
m6i,m6i.12xlarge,48,196608,2.304,3.216
c6id,c6id.12xlarge,48,98304,2.4192,3.2532
r6g,r6g.12xlarge,48,393216,2.4192,3.6192
m7gd,m7gd.12xlarge,48,196608,2.5628,3.7148
r7g,r7g.12xlarge,48,393216,2.5704,4.0824
r5a,r5a.12xlarge,48,393216,2.712,3.681
m5d,m5d.12xlarge,48,196608,2.712,3.535
c6in,c6in.12xlarge,48,98304,2.7216,3.5556
r6gd,r6gd.12xlarge,48,393216,2.7648,3.9648
m6id,m6id.12xlarge,48,196608,2.8476,3.7596
m5n,m5n.12xlarge,48,196608,2.856,3.713
r6i,r6i.12xlarge,48,393216,3.024,4.248
r5,r5.12xlarge,48,393216,3.024,4.104
m5dn,m5dn.12xlarge,48,196608,3.264,4.243
r7gd,r7gd.12xlarge,48,393216,3.2659,4.7779
m6in,m6in.12xlarge,48,196608,3.34152,4.25352
r5d,r5d.12xlarge,48,393216,3.456,4.536
r5n,r5n.12xlarge,48,393216,3.576,4.656
r6id,r6id.12xlarge,48,393216,3.6288,4.8528
m6idn,m6idn.12xlarge,48,196608,3.81888,4.73088
m5zn,m5zn.12xlarge,48,196608,3.9641,5.1641
r5dn,r5dn.12xlarge,48,393216,4.008,5.261
r6in,r6in.12xlarge,48,393216,4.18392,5.40792
r6idn,r6idn.12xlarge,48,393216,4.68936,5.91336
c6g,c6g.16xlarge,64,131072,2.176,3.408
c7g,c7g.16xlarge,64,131072,2.3123,3.7603
c6gd,c6gd.16xlarge,64,131072,2.4576,3.6896
m6g,m6g.16xlarge,64,262144,2.464,3.692
c5a,c5a.16xlarge,64,131072,2.464,3.436
m7g,m7g.16xlarge,64,262144,2.6112,4.1472
c6i,c6i.16xlarge,64,131072,2.72,3.833
m5a,m5a.16xlarge,64,262144,2.752,3.735
c5ad,c5ad.16xlarge,64,131072,2.752,3.848
m6gd,m6gd.16xlarge,64,262144,2.8928,4.1208
c7gd,c7gd.16xlarge,64,131072,2.903,4.351
m6i,m6i.16xlarge,64,262144,3.072,4.288
m5,m5.16xlarge,64,262144,3.072,4.168
m4,m4.16xlarge,64,262144,3.2,4.4
r6g,r6g.16xlarge,64,524288,3.2256,4.8256
c6id,c6id.16xlarge,64,131072,3.2256,4.3386
m7gd,m7gd.16xlarge,64,262144,3.4171,4.9531
r7g,r7g.16xlarge,64,524288,3.4272,5.4432
m5d,m5d.16xlarge,64,262144,3.616,4.712
r5a,r5a.16xlarge,64,524288,3.616,4.907
c6in,c6in.16xlarge,64,131072,3.6288,4.7418
r6gd,r6gd.16xlarge,64,524288,3.6864,5.2864
m6id,m6id.16xlarge,64,262144,3.7968,5.0128
m5n,m5n.16xlarge,64,262144,3.808,4.95
r5,r5.16xlarge,64,524288,4.032,5.472
r6i,r6i.16xlarge,64,524288,4.032,5.664
r4,r4.16xlarge,64,499712,4.256,5.856
m5dn,m5dn.16xlarge,64,262144,4.352,5.658
r7gd,r7gd.16xlarge,64,524288,4.3546,6.3706
m6in,m6in.16xlarge,64,262144,4.45536,5.67136
